_id,province,district,sector,cell,village
66d9c38e0bc303fcbe4cfb86,Kigali city,Nyarugenge,Kigali,Kigali,Akirwanda
66d9c38e0bc303fcbe4cfb89,Kigali city,Nyarugenge,Kigali,Kigali,Kagarama
66d9c38e0bc303fcbe4cfb8b,Kigali city,Nyarugenge,Kigali,Kigali,Muganza
66d9c38e0bc303fcbe4cfb96,Kigali city,Nyarugenge,Kigali,Mwendo,Kanyabami
66d9c38e0bc303fcbe4cfbc3,Kigali city,Nyarugenge,Kimisagara,Kamuhoza,Tetero
66d9c38e0bc303fcbe4cfbef,Kigali city,Nyarugenge,Mageragere,Kavumu,Mubura
66d9c38e0bc303fcbe4cfb8d,Kigali city,Nyarugenge,Kigali,Kigali,Rubuye
66d9c38e0bc303fcbe4cfb90,Kigali city,Nyarugenge,Kigali,Mwendo,Agakomeye
66d9c38e0bc303fcbe4cfbb7,Kigali city,Nyarugenge,Kimisagara,Kamuhoza,Busasamana
66d9c38e0bc303fcbe4cfbcb,Kigali city,Nyarugenge,Kimisagara,Katabaro,Mugina
66d9c38e0bc303fcbe4cfbfb,Kigali city,Nyarugenge,Mageragere,Ntungamo,Akana ka Mageragere
66d9c38e0bc303fcbe4cfb9e,Kigali city,Nyarugenge,Kigali,Nyabugogo,Giticyinyoni
66d9c38e0bc303fcbe4cfba4,Kigali city,Nyarugenge,Kigali,Nyabugogo,Nyabugogo
66d9c38e0bc303fcbe4cfba8,Kigali city,Nyarugenge,Kigali,Ruriba,Ruhango
66d9c38e0bc303fcbe4cfbb3,Kigali city,Nyarugenge,Kigali,Rwesero,Rwesero
66d9c38e0bc303fcbe4cfbb9,Kigali city,Nyarugenge,Kimisagara,Kamuhoza,Ituze
66d9c38e0bc303fcbe4cfbd0,Kigali city,Nyarugenge,Kimisagara,Katabaro,Uruyange
66d9c38e0bc303fcbe4cfbdf,Kigali city,Nyarugenge,Kimisagara,Kimisagara,Muganza
66d9c38e0bc303fcbe4cfbe7,Kigali city,Nyarugenge,Mageragere,Kankuba,Kankuba
66d9c38e0bc303fcbe4cfc1a,Kigali city,Nyarugenge,Muhima,Kabasengerezi,Intwari
66d9c38e0bc303fcbe4cfc24,Kigali city,Nyarugenge,Muhima,Nyabugogo,Icyerekezo
66d9c38e0bc303fcbe4cfc29,Kigali city,Nyarugenge,Muhima,Rugenge,Imihigo
66d9c38e0bc303fcbe4cfc34,Kigali city,Nyarugenge,Muhima,Ubumwe,Duterimbere
66d9c38e0bc303fcbe4cfc44,Kigali city,Nyarugenge,Nyakabanda,Munanira Ii,Mucyuranyana
66d9c38e0bc303fcbe4cfc49,Kigali city,Nyarugenge,Nyakabanda,Nyakabanda I,Kariyeri
66d9c38e0bc303fcbe4cfc6d,Kigali city,Nyarugenge,Nyamirambo,Rugarama,Gatare
66d9c38e0bc303fcbe4cfc71,Kigali city,Nyarugenge,Nyamirambo,Rugarama,Rubona
66d9c38e0bc303fcbe4cfc7b,Kigali city,Nyarugenge,Nyarugenge,Agatare,Umucyo
66d9c38e0bc303fcbe4cfc81,Kigali city,Nyarugenge,Nyarugenge,Biryogo,Umurimo
66d9c38e0bc303fcbe4cfc8b,Kigali city,Nyarugenge,Nyarugenge,Kiyovu,Muhabura
66d9c38e0bc303fcbe4cfc8f,Kigali city,Nyarugenge,Nyarugenge,Rwampara,Gacaca
66d9c38e0bc303fcbe4cfc95,Kigali city,Nyarugenge,Rwezamenyo,Kabuguru I,Muhuza
66d9c38e0bc303fcbe4cfc9f,Kigali city,Nyarugenge,Rwezamenyo,Rwezamenyo I,Intwari
66d9c38e0bc303fcbe4cfcab,Kigali city,Gasabo,Bumbogo,Musave,Kayumba
66d9c38e0bc303fcbe4cfb5a,Kigali city,Nyarugenge,Gitega,Kigarama,Umubano
66d9c38e0bc303fcbe4cfb5c,Kigali city,Nyarugenge,Gitega,Kigarama,Umuhoza
66d9c38e0bc303fcbe4cfb62,Kigali city,Nyarugenge,Gitega,Kinyange,Karitasi
66d9c38e0bc303fcbe4cfb5e,Kigali city,Nyarugenge,Gitega,Kinyange,Akabugenewe
66d9c38e0bc303fcbe4cfb4c,Kigali city,Nyarugenge,Gitega,Akabeza,Akinyambo
66d9c38e0bc303fcbe4cfb4d,Kigali city,Nyarugenge,Gitega,Akabeza,Amayaga
66d9c38e0bc303fcbe4cfb6a,Kigali city,Nyarugenge,Gitega,Kora,Kanunga
66d9c38e0bc303fcbe4cfb48,Kigali city,Nyarugenge,Gitega,Akabahizi,Umucyo
66d9c38e0bc303fcbe4cfb58,Kigali city,Nyarugenge,Gitega,Kigarama,Ingenzi
66d9c38e0bc303fcbe4cfb65,Kigali city,Nyarugenge,Gitega,Kinyange,Ubwiza
66d9c38e0bc303fcbe4cfb67,Kigali city,Nyarugenge,Gitega,Kinyange,Umwembe
66d9c38e0bc303fcbe4cfb6b,Kigali city,Nyarugenge,Gitega,Kora,Kinyambo
66d9c38e0bc303fcbe4cfb7d,Kigali city,Nyarugenge,Kanyinya,Nzove,Rutagara I
66d9c38e0bc303fcbe4cfb81,Kigali city,Nyarugenge,Kanyinya,Taba,Ngendo
66d9c38e0bc303fcbe4cfb8e,Kigali city,Nyarugenge,Kigali,Kigali,Ruhango
66d9c38e0bc303fcbe4cfb9d,Kigali city,Nyarugenge,Kigali,Nyabugogo,Gatare
66d9c38e0bc303fcbe4cfbaf,Kigali city,Nyarugenge,Kigali,Rwesero,Akinama
66d9c38e0bc303fcbe4cfbb4,Kigali city,Nyarugenge,Kigali,Rwesero,Rweza
66d9c38e0bc303fcbe4cfbc9,Kigali city,Nyarugenge,Kimisagara,Katabaro,Kigarama
66d9c38e0bc303fcbe4cfbca,Kigali city,Nyarugenge,Kimisagara,Katabaro,Mpazi
66d9c38e0bc303fcbe4cfbda,Kigali city,Nyarugenge,Kimisagara,Kimisagara,Inkurunziza
66d9c38e0bc303fcbe4cfbdb,Kigali city,Nyarugenge,Kimisagara,Kimisagara,Karambi
66d9c38e0bc303fcbe4cfbe5,Kigali city,Nyarugenge,Kimisagara,Kimisagara,Sano
66d9c38e0bc303fcbe4cfbe6,Kigali city,Nyarugenge,Mageragere,Kankuba,Kamatamu
66d9c38e0bc303fcbe4cfbf2,Kigali city,Nyarugenge,Mageragere,Kavumu,Nyarubuye
66d9c38e0bc303fcbe4cfb83,Kigali city,Nyarugenge,Kanyinya,Taba,Nyarusange
66d9c38e0bc303fcbe4cfb8f,Kigali city,Nyarugenge,Kigali,Kigali,Ryasharangabo
66d9c38e0bc303fcbe4cfb98,Kigali city,Nyarugenge,Kigali,Mwendo,Mwendo
66d9c38e0bc303fcbe4cfb99,Kigali city,Nyarugenge,Kigali,Mwendo,Ruhuha
66d9c38e0bc303fcbe4cfba2,Kigali city,Nyarugenge,Kigali,Nyabugogo,Kiruhura
66d9c38e0bc303fcbe4cfba3,Kigali city,Nyarugenge,Kigali,Nyabugogo,Nyabikoni
66d9c38e0bc303fcbe4cfbb2,Kigali city,Nyarugenge,Kigali,Rwesero,Ruhogo
66d9c38e0bc303fcbe4cfbbd,Kigali city,Nyarugenge,Kimisagara,Kamuhoza,Mataba
66d9c38e0bc303fcbe4cfbc2,Kigali city,Nyarugenge,Kimisagara,Kamuhoza,Rutunga
66d9c38e0bc303fcbe4cfbd1,Kigali city,Nyarugenge,Kimisagara,Kimisagara,Akabeza
66d9c38e0bc303fcbe4cfbd2,Kigali city,Nyarugenge,Kimisagara,Kimisagara,Amahoro
66d9c38e0bc303fcbe4cfbd3,Kigali city,Nyarugenge,Kimisagara,Kimisagara,Birama
66d9c38e0bc303fcbe4cfbdd,Kigali city,Nyarugenge,Kimisagara,Kimisagara,Kimisagara
66d9c38e0bc303fcbe4cfbf9,Kigali city,Nyarugenge,Mageragere,Mataba,Mataba
66d9c38e0bc303fcbe4cfbfc,Kigali city,Nyarugenge,Mageragere,Ntungamo,Gatovu
66d9c38e0bc303fcbe4cfb84,Kigali city,Nyarugenge,Kanyinya,Taba,Rwakivumu
66d9c38e0bc303fcbe4cfba1,Kigali city,Nyarugenge,Kigali,Nyabugogo,Karama
66d9c38e0bc303fcbe4cfbbb,Kigali city,Nyarugenge,Kimisagara,Kamuhoza,Karwarugabo
66d9c38e0bc303fcbe4cfbc7,Kigali city,Nyarugenge,Kimisagara,Katabaro,Amahumbezi
66d9c38e0bc303fcbe4cfbe3,Kigali city,Nyarugenge,Kimisagara,Kimisagara,Nyamabuye
66d9c38e0bc303fcbe4cfbea,Kigali city,Nyarugenge,Mageragere,Kankuba,Nyarumanga
66d9c38e0bc303fcbe4cfbf3,Kigali city,Nyarugenge,Mageragere,Mataba,Burema
66d9c38e0bc303fcbe4cfbf4,Kigali city,Nyarugenge,Mageragere,Mataba,Gahombo
66d9c38e0bc303fcbe4cfbf5,Kigali city,Nyarugenge,Mageragere,Mataba,Kabeza
66d9c38e0bc303fcbe4cfbff,Kigali city,Nyarugenge,Mageragere,Ntungamo,Rubungo
66d9c38e0bc303fcbe4cfb85,Kigali city,Nyarugenge,Kanyinya,Taba,Taba
66d9c38e0bc303fcbe4cfbe0,Kigali city,Nyarugenge,Kimisagara,Kimisagara,Nyabugogo
66d9c38e0bc303fcbe4cfc0e,Kigali city,Nyarugenge,Mageragere,Runzenze,Mpanga
66d9c38e0bc303fcbe4cfc1f,Kigali city,Nyarugenge,Muhima,Kabeza,Ingenzi
66d9c38e0bc303fcbe4cfc2a,Kigali city,Nyarugenge,Muhima,Rugenge,Impala
66d9c38e0bc303fcbe4cfc31,Kigali city,Nyarugenge,Muhima,Tetero,Iwacu
66d9c38e0bc303fcbe4cfc3b,Kigali city,Nyarugenge,Nyakabanda,Munanira I,Ntaraga
66d9c38e0bc303fcbe4cfc4c,Kigali city,Nyarugenge,Nyakabanda,Nyakabanda I,Nyakabanda
66d9c38e0bc303fcbe4cfc62,Kigali city,Nyarugenge,Nyamirambo,Gasharu,Karukoro
66d9c38e0bc303fcbe4cfc6e,Kigali city,Nyarugenge,Nyamirambo,Rugarama,Kiberinka
66d9c38e0bc303fcbe4cfc73,Kigali city,Nyarugenge,Nyamirambo,Rugarama,Runyinya
66d9c38e0bc303fcbe4cfc7e,Kigali city,Nyarugenge,Nyarugenge,Biryogo,Gabiro
66d9c38e0bc303fcbe4cfc7f,Kigali city,Nyarugenge,Nyarugenge,Biryogo,Isoko
66d9c38e0bc303fcbe4cfc8e,Kigali city,Nyarugenge,Nyarugenge,Rwampara,Amahoro
66d9c38e0bc303fcbe4cfcbc,Kigali city,Gasabo,Bumbogo,Nkuzuzu,Akimpama
66d9c38e0bc303fcbe4cfc0d,Kigali city,Nyarugenge,Mageragere,Runzenze,Gisunzu
66d9c38e0bc303fcbe4cfc17,Kigali city,Nyarugenge,Muhima,Amahoro,Uruhimbi
66d9c38e0bc303fcbe4cfc33,Kigali city,Nyarugenge,Muhima,Ubumwe,Bwahirimba
66d9c38e0bc303fcbe4cfc38,Kigali city,Nyarugenge,Muhima,Ubumwe,Urwego
66d9c38e0bc303fcbe4cfc3a,Kigali city,Nyarugenge,Nyakabanda,Munanira I,Munanira
66d9c38e0bc303fcbe4cfc45,Kigali city,Nyarugenge,Nyakabanda,Munanira Ii,Nkundumurimbo
66d9c38e0bc303fcbe4cfc56,Kigali city,Nyarugenge,Nyamirambo,Cyivugiza,Imanzi
66d9c38e0bc303fcbe4cfc5a,Kigali city,Nyarugenge,Nyamirambo,Cyivugiza,Mahoro
66d9c38e0bc303fcbe4cfc5b,Kigali city,Nyarugenge,Nyamirambo,Cyivugiza,Mpano
66d9c38e0bc303fcbe4cfc5f,Kigali city,Nyarugenge,Nyamirambo,Cyivugiza,Rugero
66d9c38e0bc303fcbe4cfc6b,Kigali city,Nyarugenge,Nyamirambo,Mumena,Mumena
66d9c38e0bc303fcbe4cfc82,Kigali city,Nyarugenge,Nyarugenge,Kiyovu,Amizero
66d9c38e0bc303fcbe4cfc86,Kigali city,Nyarugenge,Nyarugenge,Kiyovu,Indangamirwa
66d9c38e0bc303fcbe4cfc8d,Kigali city,Nyarugenge,Nyarugenge,Kiyovu,Sugira
66d9c38e0bc303fcbe4cfc9e,Kigali city,Nyarugenge,Rwezamenyo,Rwezamenyo I,Inkerakubanza
66d9c38e0bc303fcbe4cfcae,Kigali city,Gasabo,Bumbogo,Musave,Rugando
66d9c38e0bc303fcbe4cfcb2,Kigali city,Gasabo,Bumbogo,Mvuzo,Nkona
66d9c38e0bc303fcbe4cfcb3,Kigali city,Gasabo,Bumbogo,Mvuzo,Nyakabingo
66d9c38e0bc303fcbe4cfcb8,Kigali city,Gasabo,Bumbogo,Ngara,Ruhinga
66d9c38e0bc303fcbe4cfcbd,Kigali city,Gasabo,Bumbogo,Nkuzuzu,Burima
66d9c38e0bc303fcbe4cfc4b,Kigali city,Nyarugenge,Nyakabanda,Nyakabanda I,Munini
66d9c38e0bc303fcbe4cfc6c,Kigali city,Nyarugenge,Nyamirambo,Mumena,Rwampara
66d9c38e0bc303fcbe4cfca8,Kigali city,Gasabo,Bumbogo,Kinyaga,Ryakigogo
66d9c38e0bc303fcbe4cfc0a,Kigali city,Nyarugenge,Mageragere,Nyarurenzi,Iterambere
66d9c38e0bc303fcbe4cfc25,Kigali city,Nyarugenge,Muhima,Nyabugogo,Indatwa
66d9c38e0bc303fcbe4cfc36,Kigali city,Nyarugenge,Muhima,Ubumwe,Nyanza
66d9c38e0bc303fcbe4cfc3d,Kigali city,Nyarugenge,Nyakabanda,Munanira I,Rurembo
66d9c38e0bc303fcbe4cfc40,Kigali city,Nyarugenge,Nyakabanda,Munanira Ii,Kanyange
66d9c38e0bc303fcbe4cfc46,Kigali city,Nyarugenge,Nyakabanda,Nyakabanda I,Akinkware
66d9c38e0bc303fcbe4cfc48,Kigali city,Nyarugenge,Nyakabanda,Nyakabanda I,Gasiza
66d9c38e0bc303fcbe4cfc7a,Kigali city,Nyarugenge,Nyarugenge,Agatare,Uburezi
66d9c38e0bc303fcbe4cfc89,Kigali city,Nyarugenge,Nyarugenge,Kiyovu,Ishema
66d9c38e0bc303fcbe4cfcb0,Kigali city,Gasabo,Bumbogo,Mvuzo,Kiyoro
66d9c38e0bc303fcbe4cfcc1,Kigali city,Gasabo,Bumbogo,Nyabikenke,Kamutamu
66d9c38e0bc303fcbe4cfccf,Kigali city,Gasabo,Bumbogo,Nyagasozi,Urutarishonga
66d9c38e0bc303fcbe4cfce8,Kigali city,Gasabo,Gatsata,Nyamabuye,Rusoro
66d9c38e0bc303fcbe4cfced,Kigali city,Gasabo,Gatsata,Nyamugari,Akarubimbura
66d9c38e0bc303fcbe4cfcf6,Kigali city,Gasabo,Gatsata,Nyamugari,Rwakarihejuru
66d9c38e0bc303fcbe4cfd00,Kigali city,Gasabo,Gikomero,Kibara,Gasharu
66d9c38e0bc303fcbe4cfd01,Kigali city,Gasabo,Gikomero,Kibara,Kibobo
66d9c38e0bc303fcbe4cfd05,Kigali city,Gasabo,Gikomero,Munini,Rudakabukirwa
66d9c38e0bc303fcbe4cfd07,Kigali city,Gasabo,Gikomero,Murambi,Kimisebeya
66d9c38e0bc303fcbe4cfd0b,Kigali city,Gasabo,Gisozi,Musezero,Amajyambere
66d9c38e0bc303fcbe4cfd10,Kigali city,Gasabo,Gisozi,Musezero,Kagara
66d9c38e0bc303fcbe4cfd17,Kigali city,Gasabo,Gisozi,Ruhango,Rukeri
66d9c38e0bc303fcbe4cfd2a,Kigali city,Gasabo,Jabana,Kabuye,Amasangano
66d9c38e0bc303fcbe4cfd2d,Kigali city,Gasabo,Jabana,Kabuye,Kabeza
66d9c38e0bc303fcbe4cfd2f,Kigali city,Gasabo,Jabana,Kabuye,Murama
66d9c38e0bc303fcbe4cfd37,Kigali city,Gasabo,Jabana,Kidashya,Mubuga
66d9c38e0bc303fcbe4cfd38,Kigali city,Gasabo,Jabana,Kidashya,Nyamweru
66d9c38e0bc303fcbe4cfd39,Kigali city,Gasabo,Jabana,Ngiryi,Agahama
66d9c38e0bc303fcbe4cfcca,Kigali city,Gasabo,Bumbogo,Nyagasozi,Akigabiro
66d9c38e0bc303fcbe4cfcf7,Kigali city,Gasabo,Gikomero,Gasagara,Bwimiyange
66d9c38e0bc303fcbe4cfd08,Kigali city,Gasabo,Gikomero,Murambi,Kivugiza
66d9c38e0bc303fcbe4cfd0a,Kigali city,Gasabo,Gikomero,Murambi,Twina
66d9c38e0bc303fcbe4cfd14,Kigali city,Gasabo,Gisozi,Ruhango,Kumukenke
66d9c38e0bc303fcbe4cfd1b,Kigali city,Gasabo,Jabana,Akamatamu,Murehe
66d9c38e0bc303fcbe4cfd30,Kigali city,Gasabo,Jabana,Kabuye,Nyagasozi
66d9c38e0bc303fcbe4cfd35,Kigali city,Gasabo,Jabana,Kidashya,Agatare
66d9c38e0bc303fcbe4cfd3a,Kigali city,Gasabo,Jabana,Ngiryi,Agasharu
66d9c38e0bc303fcbe4cfccd,Kigali city,Gasabo,Bumbogo,Nyagasozi,Mpabwa
66d9c38e0bc303fcbe4cfcff,Kigali city,Gasabo,Gikomero,Kibara,Gahinga
66d9c38e0bc303fcbe4cfccb,Kigali city,Gasabo,Bumbogo,Nyagasozi,Gishaka
66d9c38e0bc303fcbe4cfc9b,Kigali city,Nyarugenge,Rwezamenyo,Kabuguru Ii,Ubusabane
66d9c38e0bc303fcbe4cfca6,Kigali city,Gasabo,Bumbogo,Kinyaga,Muhozi
66d9c38e0bc303fcbe4cfcb7,Kigali city,Gasabo,Bumbogo,Ngara,Munini
66d9c38e0bc303fcbe4cfcbb,Kigali city,Gasabo,Bumbogo,Nkuzuzu,Akasedogo
66d9c38e0bc303fcbe4cfc00,Kigali city,Nyarugenge,Mageragere,Ntungamo,Rwindonyi
66d9c38e0bc303fcbe4cfc01,Kigali city,Nyarugenge,Mageragere,Nyarufunzo,Akabungo
66d9c38e0bc303fcbe4cfc0b,Kigali city,Nyarugenge,Mageragere,Nyarurenzi,Nyabirondo
66d9c38e0bc303fcbe4cfc13,Kigali city,Nyarugenge,Muhima,Amahoro,Amizero
66d9c38e0bc303fcbe4cfc14,Kigali city,Nyarugenge,Muhima,Amahoro,Inyarurembo
66d9c38e0bc303fcbe4cfc15,Kigali city,Nyarugenge,Muhima,Amahoro,Kabirizi
66d9c38e0bc303fcbe4cfc2b,Kigali city,Nyarugenge,Muhima,Rugenge,Rugenge
66d9c38e0bc303fcbe4cfc2e,Kigali city,Nyarugenge,Muhima,Tetero,Ingoro
66d9c38e0bc303fcbe4cfc32,Kigali city,Nyarugenge,Muhima,Tetero,Tetero
66d9c38e0bc303fcbe4cfc41,Kigali city,Nyarugenge,Nyakabanda,Munanira Ii,Karudandi
66d9c38e0bc303fcbe4cfc52,Kigali city,Nyarugenge,Nyakabanda,Nyakabanda Ii,Kigarama
66d9c38e0bc303fcbe4cfc58,Kigali city,Nyarugenge,Nyamirambo,Cyivugiza,Intwari
66d9c38e0bc303fcbe4cfc68,Kigali city,Nyarugenge,Nyamirambo,Mumena,Irembo
66d9c38e0bc303fcbe4cfc6a,Kigali city,Nyarugenge,Nyamirambo,Mumena,Kiberinka
66d9c38e0bc303fcbe4cfc72,Kigali city,Nyarugenge,Nyamirambo,Rugarama,Rugarama
66d9c38e0bc303fcbe4cfc78,Kigali city,Nyarugenge,Nyarugenge,Agatare,Inyambo
66d9c38e0bc303fcbe4cfc7d,Kigali city,Nyarugenge,Nyarugenge,Biryogo,Biryogo
66d9c38e0bc303fcbe4cfc87,Kigali city,Nyarugenge,Nyarugenge,Kiyovu,Ingenzi
66d9c38e0bc303fcbe4cfc97,Kigali city,Nyarugenge,Rwezamenyo,Kabuguru I,Murambi
66d9c38e0bc303fcbe4cfca9,Kigali city,Gasabo,Bumbogo,Kinyaga,Zindiro
66d9c38e0bc303fcbe4cfcaa,Kigali city,Gasabo,Bumbogo,Musave,Kagarama
66d9c38e0bc303fcbe4cfcac,Kigali city,Gasabo,Bumbogo,Musave,Ramba
66d9c38e0bc303fcbe4cfc07,Kigali city,Nyarugenge,Mageragere,Nyarurenzi,Amahoro
66d9c38e0bc303fcbe4cfc0c,Kigali city,Nyarugenge,Mageragere,Nyarurenzi,Nyarurenzi
66d9c38e0bc303fcbe4cfc1e,Kigali city,Nyarugenge,Muhima,Kabeza,Imanzi
66d9c38e0bc303fcbe4cfc2f,Kigali city,Nyarugenge,Muhima,Tetero,Inkingi
66d9c38e0bc303fcbe4cfc50,Kigali city,Nyarugenge,Nyakabanda,Nyakabanda Ii,Kanyiranganji
66d9c38e0bc303fcbe4cfc55,Kigali city,Nyarugenge,Nyamirambo,Cyivugiza,Gabiro
66d9c38e0bc303fcbe4cfc77,Kigali city,Nyarugenge,Nyarugenge,Agatare,Amajyambere
66d9c38e0bc303fcbe4cfc92,Kigali city,Nyarugenge,Nyarugenge,Rwampara,Umucyo
66d9c38e0bc303fcbe4cfcbf,Kigali city,Gasabo,Bumbogo,Nyabikenke,Bushya
66d9c38e0bc303fcbe4cfcd1,Kigali city,Gasabo,Gatsata,Karuruma,Akimihigo
66d9c38e0bc303fcbe4cfcd7,Kigali city,Gasabo,Gatsata,Karuruma,Nyagasozi
66d9c38e0bc303fcbe4cfcf3,Kigali city,Gasabo,Gatsata,Nyamugari,Isangano
66d9c38e0bc303fcbe4cfd06,Kigali city,Gasabo,Gikomero,Munini,Runyinya
66d9c38e0bc303fcbe4cfd18,Kigali city,Gasabo,Gisozi,Ruhango,Umurava
66d9c38e0bc303fcbe4cfd21,Kigali city,Gasabo,Jabana,Bweramvura,Akinyana
66d9c38e0bc303fcbe4cfcc6,Kigali city,Gasabo,Bumbogo,Nyabikenke,Masizi
66d9c38e0bc303fcbe4cfcc8,Kigali city,Gasabo,Bumbogo,Nyabikenke,Nyampamo
66d9c38e0bc303fcbe4cfcdc,Kigali city,Gasabo,Gatsata,Nyamabuye,Gashubi
66d9c38e0bc303fcbe4cfce3,Kigali city,Gasabo,Gatsata,Nyamabuye,Ndengo
66d9c38e0bc303fcbe4cfce4,Kigali city,Gasabo,Gatsata,Nyamabuye,Nyakabande
66d9c38e0bc303fcbe4cfce9,Kigali city,Gasabo,Gatsata,Nyamabuye,Ruvumero
66d9c38e0bc303fcbe4cfcf2,Kigali city,Gasabo,Gatsata,Nyamugari,Ihuriro
66d9c38e0bc303fcbe4cfd02,Kigali city,Gasabo,Gikomero,Kibara,Nombe
66d9c38e0bc303fcbe4cfd03,Kigali city,Gasabo,Gikomero,Munini,Munini
66d9c38e0bc303fcbe4cfd04,Kigali city,Gasabo,Gikomero,Munini,Mutokerezwa
66d9c38e0bc303fcbe4cfd0d,Kigali city,Gasabo,Gisozi,Musezero,Byimana
66d9c38e0bc303fcbe4cfd15,Kigali city,Gasabo,Gisozi,Ruhango,Murambi
66d9c38e0bc303fcbe4cfd1e,Kigali city,Gasabo,Jabana,Akamatamu,Nyarukurazo
66d9c38e0bc303fcbe4cfd24,Kigali city,Gasabo,Jabana,Bweramvura,Gitenga
66d9c38e0bc303fcbe4cfd3b,Kigali city,Gasabo,Jabana,Ngiryi,Akabuga
66d9c38e0bc303fcbe4cfcc5,Kigali city,Gasabo,Bumbogo,Nyabikenke,Kiriza
66d9c38e0bc303fcbe4cfcc9,Kigali city,Gasabo,Bumbogo,Nyagasozi,Akanyiramugarura
66d9c38e0bc303fcbe4cfcd9,Kigali city,Gasabo,Gatsata,Karuruma,Rwesero
66d9c38e0bc303fcbe4cfcdf,Kigali city,Gasabo,Gatsata,Nyamabuye,Juru
66d9c38e0bc303fcbe4cfce6,Kigali city,Gasabo,Gatsata,Nyamabuye,Rubonobono
66d9c38e0bc303fcbe4cfcfa,Kigali city,Gasabo,Gikomero,Gasagara,Rugwiza
66d9c38e0bc303fcbe4cfd0f,Kigali city,Gasabo,Gisozi,Musezero,Gasharu
66d9c38e0bc303fcbe4cfcd6,Kigali city,Gasabo,Gatsata,Karuruma,Muremera
66d9c38e0bc303fcbe4cfce7,Kigali city,Gasabo,Gatsata,Nyamabuye,Runyonza
66d9c38e0bc303fcbe4cfcf4,Kigali city,Gasabo,Gatsata,Nyamugari,Kanyonyomba
66d9c38e0bc303fcbe4cfcf9,Kigali city,Gasabo,Gikomero,Gasagara,Gasagara
66d9c38e0bc303fcbe4cfb42,Kigali city,Nyarugenge,Gitega,Akabahizi,Izuba
66d9c38e0bc303fcbe4cfb57,Kigali city,Nyarugenge,Gitega,Gacyamo,Ururembo
66d9c38e0bc303fcbe4cfb59,Kigali city,Nyarugenge,Gitega,Kigarama,Sangwa
66d9c38e0bc303fcbe4cfb7a,Kigali city,Nyarugenge,Kanyinya,Nzove,Gateko
